Lon,Lat,Clave,Edo,Est,Tmed
-93.1,16.94,CHICP,CHIS,Manuel Moreno Torres Chis.,23.5
-93.12,16.98,GRICP,CHIS,Grijalva Chis.,23.5
-93.6,17.18,MALCP,CHIS,NezahualcÛyotl Chis.,24.6
-93.38,17.42,SAYCP,CHIS,Sayula Chis.,24.6
-93.01,17.25,TAPILULA,CHIS,Tapilula Chis. SGT*,21.2
-92.35,17.57,SAACP,CHIS,Salto de Agua Chis.,23.4
-92.97,15.73,CUXTEPEQUES,CHIS,Finca Cuxtepeques Chis. SGT*,20.9
-93.63,16.49,NVAPALESTINA,CHIS,Nueva Palestina Chis. SGT*,26.6
-92.18,14.63,ILRAYON,CHIS,Ignacio LÛpez RayÛn Chis. SGT*,26.5
-92.3,15.12,ARGOVIA,CHIS,Finca Argovia Chis. SGT*,24.2
-93.25,16.25,VILLAFLORES,CHIS,Villaflores Chis. SGT*,23.0
-91.71,16.38,CHAYABE,CHIS,Finca ChayabÈ Chis. SGT*,17.6
-93.56,16.69,LASFLORESII,CHIS,Las Flores Dos Chis. SGT*,23.4
-92.62,16.74,SCRCP,CHIS,Puente Morelos Chis.,14.2
-93.07,16.72,TXZCP,CHIS,Tuxtla GutiÈrrez Zoomat Chis.,23.6
-92.37,16.89,CANCUC,CHIS,Cancuc Chis. SGT*,19.8
-92.33,15.17,FHACP,CHIS,Finca Hamburgo Chis.,23.5
-92.3,14.89,TAPACHULAob,CHIS,Observatorio de Tapachula Chis. SMN*,30.3
-92.15,14.7,SUCHIATE,CHIS,Suchiate Chis. SGT*,27.3
-92.4,14.7,PTOCHIAPASMAR,CHIS,Puerto Chiapas Chis. SEMAR*,26.8
-92.76,15.07,LAENCRUCIJADA,CHIS,La Encrucijada Chis. SGT*,26.8
-92.67,15.33,ESCUINTLA,CHIS,Escuintla Chis. SMN*,27.5
-92.81,15.66,ELTRIUNFO,CHIS,El Triunfo Chis. SMN*,15.4
-93.86,16.06,PAREDONMAR,CHIS,ParedÛn Chis. SEMAR*,27.7
-91.73,16.11,LMONTEBELLO,CHIS,Lagunas de Montebello Chis. SMN*,17.7
-93.08,16.17,CREDREVOLUCIONM,CHIS,Cred RevoluciÛn Mexicana Chis. SMN*,23.2
-92.13,16.23,COMITANob,CHIS,Observatorio de Comit·n Chis. SMN*,22.1
-93.91,16.24,CREDARRIAGA,CHIS,Cred Arriaga Chis. SMN*,28.3
-93.56,16.69,LASFLORESCFE,CHIS,Las Flores Chis. CFE*,23.0
-92.34,16.85,OXCHUC,CHIS,Oxchuc Chis. SGT*,14.3
-93.55,17.35,SITALA,CHIS,Sitala Chis. SGT*,20.8
-92.83,17.37,ESCALONCP,CHIS,El EscalÛn Chis. SGT*,22.0
-91.92,17.44,FIMADERO,CHIS,Francisco I. Madero Chis. SGT*,22.5
-91.7,17.47,CHACAMAX,CHIS,Chacamax Chis. SGT*,25.0
-91.99,17.53,PLQCP,CHIS,Palenque Chis. SMN*,24.1
-92.33,17.56,SALTODEAGUA,CHIS,Salto de Agua Chis. SGT*,24.2
-92.25,15.36,CREDMOTOZINTLA,CHIS,Cred Motozintla Chis. SMN*,20.2
-93.9,16.24,AROCP,CHIS,Observatorio de Arriaga Chis.,27.4
-93.56,16.7,LFLCP,CHIS,Las Flores Chis.,23.1
-91.52,16.81,MAZULES,CHIS,Montes Azules Chis. SMN*,22.3
-103.7,27.29,SMJCL,COAH,Sierra Mojada Coah.,11.5
